Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method
28,0.4,100,50,6,0.47633333333333333,0.4655,dw_pmad
28,0.4,10,50,3,0.3453333333333333,0.404,pca
28,0.4,10,10,6,0.419,0.4655,pca
28,0.4,30,5,6,0.452,0.4655,pca
28,0.4,50,1,6,0.468,0.4655,dw_pmad
28,0.4,75,5,6,0.47683333333333333,0.4655,dw_pmad
28,0.4,100,1,6,0.4786666666666667,0.4655,dw_pmad
28,0.4,75,25,6,0.4711666666666667,0.4655,dw_pmad
28,0.4,30,25,6,0.44733333333333336,0.4655,pca
28,0.4,50,10,6,0.4688333333333333,0.4655,dw_pmad
28,0.4,50,50,6,0.4658333333333333,0.4655,dw_pmad
28,0.4,10,1,10,0.4641,0.512,pca
28,0.4,100,10,10,0.5183,0.512,dw_pmad
28,0.4,100,50,10,0.5155,0.512,dw_pmad
28,0.4,10,50,6,0.40116666666666667,0.4655,pca
28,0.4,10,10,10,0.4614,0.512,pca
28,0.4,30,5,10,0.4893,0.512,pca
28,0.4,50,1,10,0.5123,0.512,dw_pmad
28,0.4,75,5,10,0.5169,0.512,dw_pmad
28,0.4,100,1,10,0.5159,0.512,dw_pmad
28,0.4,75,25,10,0.5171,0.512,dw_pmad
28,0.4,30,25,10,0.4908,0.512,pca
28,0.4,50,10,10,0.5113,0.512,pca
28,0.4,50,50,10,0.5099,0.512,pca
28,0.4,10,1,15,0.5002,0.5480666666666667,pca
28,0.4,100,10,15,0.5576666666666666,0.5480666666666667,dw_pmad
28,0.4,100,50,15,0.5588666666666666,0.5480666666666667,dw_pmad
28,0.4,10,50,10,0.4401,0.512,pca
28,0.4,10,10,15,0.4975333333333333,0.5480666666666667,pca
28,0.4,30,5,15,0.5352666666666667,0.5480666666666667,pca
28,0.4,50,1,15,0.5485333333333333,0.5480666666666667,dw_pmad
28,0.4,75,5,15,0.5581333333333334,0.5480666666666667,dw_pmad
28,0.4,100,1,15,0.5558,0.5480666666666667,dw_pmad
28,0.4,75,25,15,0.5596,0.5480666666666667,dw_pmad
28,0.4,30,25,15,0.5286,0.5480666666666667,pca
28,0.4,50,10,15,0.5527333333333333,0.5480666666666667,dw_pmad
28,0.4,50,50,15,0.5542,0.5480666666666667,dw_pmad
28,0.4,10,50,15,0.4768,0.5480666666666667,pca
