Dimension,Target Ratio,b,alpha,k,MPAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s),Autoencoder Accuracy,FastICA Accuracy,FeatureAgglomeration Accuracy,LLE Accuracy,NMF Accuracy,RandomProjection Accuracy,VAE Accuracy,tSNE Accuracy,Autoencoder MethodTime(s),FastICA MethodTime(s),FeatureAgglomeration MethodTime(s),LLE MethodTime(s),NMF MethodTime(s),RandomProjection MethodTime(s),VAE MethodTime(s),tSNE MethodTime(s),LSH Accuracy,LSH MethodTime(s)
200,0.1,80,18,1,0.316666667,0.315,0.271666667,0.253333333,0.26,0.306666667,dw_pmad,193.5305122,0.012195694,3.234382421,0.32976453,0.371766305,10.88384789,0.2616666666666666,0.3183333333333333,0.28,0.28,0.2933333333333333,0.3083333333333333,0.3066666666666666,0.1283333333333333,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.03,0.0015214
200,0.1,80,18,3,0.197222222,0.243888889,0.261666667,0.166666667,0.133888889,0.227777778,umap,193.5305122,0.012195694,3.234382421,0.32976453,0.371766305,10.88384789,0.1505555555555555,0.2372222222222222,0.1672222222222222,0.1838888888888888,0.2011111111111111,0.1938888888888889,0.1927777777777777,0.1444444444444444,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.036666667,0.0015214
200,0.1,80,18,6,0.188055556,0.254444444,0.263888889,0.198888889,0.113333333,0.2525,umap,193.5305122,0.012195694,3.234382421,0.32976453,0.371766305,10.88384789,0.1502777777777778,0.2555555555555555,0.1563888888888888,0.1502777777777778,0.2127777777777778,0.1747222222222222,0.1863888888888888,0.1502777777777778,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.043888889,0.0015214
200,0.1,80,18,10,0.203,0.285833333,0.2475,0.186833333,0.104166667,0.286,mds,193.5305122,0.012195694,3.234382421,0.32976453,0.371766305,10.88384789,0.1633333333333333,0.2893333333333333,0.1703333333333333,0.124,0.2363333333333333,0.1836666666666666,0.2015,0.159,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.058333333,0.0015214
200,0.1,80,18,15,0.229222222,0.321,0.245222222,0.174333333,0.102888889,0.326555556,mds,193.5305122,0.012195694,3.234382421,0.32976453,0.371766305,10.88384789,0.1865555555555555,0.3187777777777777,0.1882222222222222,0.1053333333333333,0.272,0.1998888888888889,0.2291111111111111,0.1655555555555555,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.072222222,0.0015214
200,0.1,80,25,1,0.315,0.315,0.271666667,0.253333333,0.26,0.306666667,dw_pmad,192.8273728,0.009709122,3.216879467,0.45094969,0.354576052,8.788888044,0.2616666666666666,0.3183333333333333,0.28,0.28,0.2933333333333333,0.3083333333333333,0.3066666666666666,0.1283333333333333,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.03,0.0015214
200,0.1,80,25,3,0.199444444,0.243888889,0.261666667,0.166666667,0.133888889,0.227777778,umap,192.8273728,0.009709122,3.216879467,0.45094969,0.354576052,8.788888044,0.1505555555555555,0.2372222222222222,0.1672222222222222,0.1838888888888888,0.2011111111111111,0.1938888888888889,0.1927777777777777,0.1444444444444444,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.036666667,0.0015214
200,0.1,80,25,6,0.192777778,0.254444444,0.263888889,0.198888889,0.113333333,0.2525,umap,192.8273728,0.009709122,3.216879467,0.45094969,0.354576052,8.788888044,0.1502777777777778,0.2555555555555555,0.1563888888888888,0.1502777777777778,0.2127777777777778,0.1747222222222222,0.1863888888888888,0.1502777777777778,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.043888889,0.0015214
200,0.1,80,25,10,0.204,0.285833333,0.2475,0.186833333,0.104166667,0.286,mds,192.8273728,0.009709122,3.216879467,0.45094969,0.354576052,8.788888044,0.1633333333333333,0.2893333333333333,0.1703333333333333,0.124,0.2363333333333333,0.1836666666666666,0.2015,0.159,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.058333333,0.0015214
200,0.1,80,25,15,0.230555556,0.321,0.245222222,0.174333333,0.102888889,0.326555556,mds,192.8273728,0.009709122,3.216879467,0.45094969,0.354576052,8.788888044,0.1865555555555555,0.3187777777777777,0.1882222222222222,0.1053333333333333,0.272,0.1998888888888889,0.2291111111111111,0.1655555555555555,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.072222222,0.0015214
200,0.1,80,35,1,0.315,0.315,0.271666667,0.253333333,0.26,0.306666667,dw_pmad,123.6723834,0.012264326,3.244450327,0.31562589,0.331492819,9.947502136,0.2616666666666666,0.3183333333333333,0.28,0.28,0.2933333333333333,0.3083333333333333,0.3066666666666666,0.1283333333333333,0.763772100006463,0.0335614000214263,0.0088682000059634,0.1189332000212743,0.4225871999806259,0.0022336000110954,1.2653707999852486,17.08924100000877,0.03,0.0015214
