Dimension,Target Ratio,b,alpha,k,MPAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s)
200,0.2,100,12,1,0.613333333,0.713333333,0.225,0.39,0.623333333,0.611666667,pca,71.98904121,0.557559609,2.46798404,2.626653221,0.308521129,8.299261935
200,0.2,100,12,3,0.605,0.708888889,0.343888889,0.541111111,0.629444444,0.653333333,pca,71.98904121,0.557559609,2.46798404,2.626653221,0.308521129,8.299261935
200,0.2,100,12,6,0.600277778,0.723888889,0.440277778,0.645277778,0.636944444,0.691111111,pca,71.98904121,0.557559609,2.46798404,2.626653221,0.308521129,8.299261935
200,0.2,100,12,10,0.594666667,0.739166667,0.507166667,0.5955,0.628666667,0.722,pca,71.98904121,0.557559609,2.46798404,2.626653221,0.308521129,8.299261935
200,0.2,100,12,15,0.596777778,0.755333333,0.524555556,0.582,0.627111111,0.747111111,pca,71.98904121,0.557559609,2.46798404,2.626653221,0.308521129,8.299261935
200,0.2,100,18,1,0.601666667,0.713333333,0.225,0.39,0.623333333,0.611666667,pca,91.29939122,0.338636227,2.478604513,0.322392266,0.206838809,7.316907571
200,0.2,100,18,3,0.604444444,0.708888889,0.343888889,0.541111111,0.629444444,0.653333333,pca,91.29939122,0.338636227,2.478604513,0.322392266,0.206838809,7.316907571
200,0.2,100,18,6,0.600555556,0.723888889,0.440277778,0.645277778,0.636944444,0.691111111,pca,91.29939122,0.338636227,2.478604513,0.322392266,0.206838809,7.316907571
200,0.2,100,18,10,0.600666667,0.739166667,0.507166667,0.5955,0.628666667,0.722,pca,91.29939122,0.338636227,2.478604513,0.322392266,0.206838809,7.316907571
200,0.2,100,18,15,0.597888889,0.755333333,0.524555556,0.582,0.627111111,0.747111111,pca,91.29939122,0.338636227,2.478604513,0.322392266,0.206838809,7.316907571
200,0.2,100,25,1,0.606666667,0.713333333,0.225,0.39,0.623333333,0.611666667,pca,84.37820551,0.452797653,2.445573453,1.568563528,0.21135503,8.301844764
200,0.2,100,25,3,0.605555556,0.708888889,0.343888889,0.541111111,0.629444444,0.653333333,pca,84.37820551,0.452797653,2.445573453,1.568563528,0.21135503,8.301844764
200,0.2,100,25,6,0.597222222,0.723888889,0.440277778,0.645277778,0.636944444,0.691111111,pca,84.37820551,0.452797653,2.445573453,1.568563528,0.21135503,8.301844764
200,0.2,100,25,10,0.595833333,0.739166667,0.507166667,0.5955,0.628666667,0.722,pca,84.37820551,0.452797653,2.445573453,1.568563528,0.21135503,8.301844764
200,0.2,100,25,15,0.595777778,0.755333333,0.524555556,0.582,0.627111111,0.747111111,pca,84.37820551,0.452797653,2.445573453,1.568563528,0.21135503,8.301844764
200,0.2,100,35,1,0.605,0.713333333,0.225,0.39,0.623333333,0.611666667,pca,122.6784327,0.204465341,2.473995276,0.54248288,0.231102003,7.372599658
200,0.2,100,35,3,0.601666667,0.708888889,0.343888889,0.541111111,0.629444444,0.653333333,pca,122.6784327,0.204465341,2.473995276,0.54248288,0.231102003,7.372599658
200,0.2,100,35,6,0.596666667,0.723888889,0.440277778,0.645277778,0.636944444,0.691111111,pca,122.6784327,0.204465341,2.473995276,0.54248288,0.231102003,7.372599658
200,0.2,100,35,10,0.5965,0.739166667,0.507166667,0.5955,0.628666667,0.722,pca,122.6784327,0.204465341,2.473995276,0.54248288,0.231102003,7.372599658
200,0.2,100,35,15,0.595888889,0.755333333,0.524555556,0.582,0.627111111,0.747111111,pca,122.6784327,0.204465341,2.473995276,0.54248288,0.231102003,7.372599658
200,0.2,100,50,1,0.603333333,0.713333333,0.225,0.39,0.623333333,0.611666667,pca,150.8481801,0.347074282,2.461506866,1.071026716,0.316224444,8.215453207
200,0.2,100,50,3,0.605,0.708888889,0.343888889,0.541111111,0.629444444,0.653333333,pca,150.8481801,0.347074282,2.461506866,1.071026716,0.316224444,8.215453207
200,0.2,100,50,6,0.596666667,0.723888889,0.440277778,0.645277778,0.636944444,0.691111111,pca,150.8481801,0.347074282,2.461506866,1.071026716,0.316224444,8.215453207
200,0.2,100,50,10,0.594833333,0.739166667,0.507166667,0.5955,0.628666667,0.722,pca,150.8481801,0.347074282,2.461506866,1.071026716,0.316224444,8.215453207
200,0.2,100,50,15,0.595666667,0.755333333,0.524555556,0.582,0.627111111,0.747111111,pca,150.8481801,0.347074282,2.461506866,1.071026716,0.316224444,8.215453207
200,0.2,100,10000,1,0.611666667,0.713333333,0.225,0.39,0.623333333,0.611666667,pca,172.3791435,0.388842641,2.48002936,0.309553316,0.234641749,7.377058719
200,0.2,100,10000,3,0.604444444,0.708888889,0.343888889,0.541111111,0.629444444,0.653333333,pca,172.3791435,0.388842641,2.48002936,0.309553316,0.234641749,7.377058719
200,0.2,100,10000,6,0.597777778,0.723888889,0.440277778,0.645277778,0.636944444,0.691111111,pca,172.3791435,0.388842641,2.48002936,0.309553316,0.234641749,7.377058719
200,0.2,100,10000,10,0.594666667,0.739166667,0.507166667,0.5955,0.628666667,0.722,pca,172.3791435,0.388842641,2.48002936,0.309553316,0.234641749,7.377058719
200,0.2,100,10000,15,0.595888889,0.755333333,0.524555556,0.582,0.627111111,0.747111111,pca,172.3791435,0.388842641,2.48002936,0.309553316,0.234641749,7.377058719
200,0.4,100,1,1,0.706666667,0.85,0.193333333,0.391666667,0.713333333,0.701666667,pca,389.8195354,0.828237047,3.667660968,1.19487498,0.273517986,8.963776611
200,0.4,100,1,3,0.725,0.870555556,0.346666667,0.548333333,0.735,0.727777778,pca,389.8195354,0.828237047,3.667660968,1.19487498,0.273517986,8.963776611
200,0.4,100,1,6,0.725277778,0.875,0.452777778,0.658055556,0.726944444,0.753055556,pca,389.8195354,0.828237047,3.667660968,1.19487498,0.273517986,8.963776611
200,0.4,100,1,10,0.718833333,0.885333333,0.503833333,0.596333333,0.716,0.778666667,pca,389.8195354,0.828237047,3.667660968,1.19487498,0.273517986,8.963776611
200,0.4,100,1,15,0.722333333,0.890222222,0.526555556,0.583222222,0.716111111,0.801111111,pca,389.8195354,0.828237047,3.667660968,1.19487498,0.273517986,8.963776611
200,0.4,100,6,1,0.708333333,0.85,0.193333333,0.391666667,0.713333333,0.701666667,pca,310.2012536,0.498895993,3.699846264,0.323357514,0.257682138,7.833949245
200,0.4,100,6,3,0.73,0.870555556,0.346666667,0.548333333,0.735,0.727777778,pca,310.2012536,0.498895993,3.699846264,0.323357514,0.257682138,7.833949245
200,0.4,100,6,6,0.725277778,0.875,0.452777778,0.658055556,0.726944444,0.753055556,pca,310.2012536,0.498895993,3.699846264,0.323357514,0.257682138,7.833949245
200,0.4,100,6,10,0.721333333,0.885333333,0.503833333,0.596333333,0.716,0.778666667,pca,310.2012536,0.498895993,3.699846264,0.323357514,0.257682138,7.833949245
200,0.4,100,6,15,0.719111111,0.890222222,0.526555556,0.583222222,0.716111111,0.801111111,pca,310.2012536,0.498895993,3.699846264,0.323357514,0.257682138,7.833949245
200,0.4,100,12,1,0.716666667,0.85,0.193333333,0.391666667,0.713333333,0.701666667,pca,264.8243687,0.52618066,3.069698281,0.346417156,0.265273105,8.066345044
200,0.4,100,12,3,0.725,0.870555556,0.346666667,0.548333333,0.735,0.727777778,pca,264.8243687,0.52618066,3.069698281,0.346417156,0.265273105,8.066345044
200,0.4,100,12,6,0.726388889,0.875,0.452777778,0.658055556,0.726944444,0.753055556,pca,264.8243687,0.52618066,3.069698281,0.346417156,0.265273105,8.066345044
200,0.4,100,12,10,0.721666667,0.885333333,0.503833333,0.596333333,0.716,0.778666667,pca,264.8243687,0.52618066,3.069698281,0.346417156,0.265273105,8.066345044
200,0.4,100,12,15,0.719222222,0.890222222,0.526555556,0.583222222,0.716111111,0.801111111,pca,264.8243687,0.52618066,3.069698281,0.346417156,0.265273105,8.066345044
200,0.4,100,18,1,0.713333333,0.85,0.193333333,0.391666667,0.713333333,0.701666667,pca,265.4310961,0.759302844,3.025133449,0.255305067,0.255136836,7.915721013
200,0.4,100,18,3,0.725,0.870555556,0.346666667,0.548333333,0.735,0.727777778,pca,265.4310961,0.759302844,3.025133449,0.255305067,0.255136836,7.915721013
200,0.4,100,18,6,0.726388889,0.875,0.452777778,0.658055556,0.726944444,0.753055556,pca,265.4310961,0.759302844,3.025133449,0.255305067,0.255136836,7.915721013
200,0.4,100,18,10,0.719166667,0.885333333,0.503833333,0.596333333,0.716,0.778666667,pca,265.4310961,0.759302844,3.025133449,0.255305067,0.255136836,7.915721013
200,0.4,100,18,15,0.719222222,0.890222222,0.526555556,0.583222222,0.716111111,0.801111111,pca,265.4310961,0.759302844,3.025133449,0.255305067,0.255136836,7.915721013
200,0.4,100,25,1,0.715,0.85,0.193333333,0.391666667,0.713333333,0.701666667,pca,420.0156141,1.309523961,3.182652004,0.259580233,0.231850859,8.60147845
200,0.4,100,25,3,0.721666667,0.870555556,0.346666667,0.548333333,0.735,0.727777778,pca,420.0156141,1.309523961,3.182652004,0.259580233,0.231850859,8.60147845
200,0.4,100,25,6,0.723888889,0.875,0.452777778,0.658055556,0.726944444,0.753055556,pca,420.0156141,1.309523961,3.182652004,0.259580233,0.231850859,8.60147845
200,0.4,100,25,10,0.719833333,0.885333333,0.503833333,0.596333333,0.716,0.778666667,pca,420.0156141,1.309523961,3.182652004,0.259580233,0.231850859,8.60147845
200,0.4,100,25,15,0.720777778,0.890222222,0.526555556,0.583222222,0.716111111,0.801111111,pca,420.0156141,1.309523961,3.182652004,0.259580233,0.231850859,8.60147845
200,0.4,100,35,1,0.713333333,0.85,0.193333333,0.391666667,0.713333333,0.701666667,pca,374.6696798,0.5706908,3.706562916,1.114410773,0.252066617,8.951532011
200,0.4,100,35,3,0.731111111,0.870555556,0.346666667,0.548333333,0.735,0.727777778,pca,374.6696798,0.5706908,3.706562916,1.114410773,0.252066617,8.951532011
200,0.4,100,35,6,0.728055556,0.875,0.452777778,0.658055556,0.726944444,0.753055556,pca,374.6696798,0.5706908,3.706562916,1.114410773,0.252066617,8.951532011
200,0.4,100,35,10,0.721333333,0.885333333,0.503833333,0.596333333,0.716,0.778666667,pca,374.6696798,0.5706908,3.706562916,1.114410773,0.252066617,8.951532011
200,0.4,100,35,15,0.719777778,0.890222222,0.526555556,0.583222222,0.716111111,0.801111111,pca,374.6696798,0.5706908,3.706562916,1.114410773,0.252066617,8.951532011
200,0.4,100,50,1,0.718333333,0.85,0.193333333,0.391666667,0.713333333,0.701666667,pca,365.0843126,0.614928179,3.121790976,0.265373588,0.341396675,7.88612204
200,0.4,100,50,3,0.726666667,0.870555556,0.346666667,0.548333333,0.735,0.727777778,pca,365.0843126,0.614928179,3.121790976,0.265373588,0.341396675,7.88612204
200,0.4,100,50,6,0.726111111,0.875,0.452777778,0.658055556,0.726944444,0.753055556,pca,365.0843126,0.614928179,3.121790976,0.265373588,0.341396675,7.88612204
200,0.4,100,50,10,0.720166667,0.885333333,0.503833333,0.596333333,0.716,0.778666667,pca,365.0843126,0.614928179,3.121790976,0.265373588,0.341396675,7.88612204
200,0.4,100,50,15,0.720333333,0.890222222,0.526555556,0.583222222,0.716111111,0.801111111,pca,365.0843126,0.614928179,3.121790976,0.265373588,0.341396675,7.88612204
200,0.4,100,10000,1,0.716666667,0.85,0.193333333,0.391666667,0.713333333,0.701666667,pca,421.1157988,0.607223137,3.067357749,0.256051548,0.303615349,9.576061759
200,0.4,100,10000,3,0.720555556,0.870555556,0.346666667,0.548333333,0.735,0.727777778,pca,421.1157988,0.607223137,3.067357749,0.256051548,0.303615349,9.576061759
