Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method
50,0.1,100,20,15,0.5284444444444445,0.5237777777777778,0.42533333333333334,0.398,0.3542222222222222,0.5442222222222223,mds
50,0.1,100,12,15,0.5264444444444445,0.5237777777777778,0.42533333333333334,0.398,0.3542222222222222,0.5442222222222223,mds
50,0.1,100,10,15,0.5275555555555556,0.5237777777777778,0.42533333333333334,0.398,0.3542222222222222,0.5442222222222223,mds
50,0.2,100,12,15,0.6928888888888889,0.6904444444444444,0.42244444444444446,0.448,0.42133333333333334,0.7108888888888889,mds
50,0.2,100,8,15,0.6866666666666666,0.6904444444444444,0.42244444444444446,0.448,0.42133333333333334,0.7108888888888889,mds
50,0.2,100,10,15,0.692,0.6904444444444444,0.42244444444444446,0.448,0.42133333333333334,0.7108888888888889,mds
50,0.2,100,15,15,0.6897777777777778,0.6904444444444444,0.42244444444444446,0.448,0.42133333333333334,0.7108888888888889,mds
50,0.2,100,20,15,0.6906666666666667,0.6904444444444444,0.42244444444444446,0.448,0.42133333333333334,0.7108888888888889,mds
50,0.4,100,8,1,0.6333333333333333,0.6466666666666666,0.27666666666666667,0.19333333333333333,0.28,0.6633333333333333,mds
50,0.4,100,8,3,0.7188888888888889,0.7222222222222222,0.3333333333333333,0.36444444444444446,0.3488888888888889,0.7188888888888889,pca
50,0.4,100,8,6,0.7561111111111111,0.7538888888888889,0.365,0.47944444444444445,0.40444444444444444,0.7522222222222222,dw_pmad
50,0.4,100,8,10,0.804,0.8093333333333333,0.402,0.4846666666666667,0.4716666666666667,0.797,pca
50,0.4,100,8,15,0.8337777777777777,0.8342222222222222,0.42844444444444446,0.49044444444444446,0.51,0.8244444444444444,pca
50,0.6,100,20,1,0.8266666666666667,0.8233333333333334,0.2633333333333333,0.22333333333333333,0.33,0.73,dw_pmad
50,0.6,100,20,3,0.8733333333333333,0.8744444444444445,0.3377777777777778,0.43333333333333335,0.4122222222222222,0.7766666666666666,pca
50,0.4,100,12,1,0.6566666666666666,0.6466666666666666,0.27666666666666667,0.19333333333333333,0.28,0.6633333333333333,mds
50,0.4,100,10,1,0.64,0.6466666666666666,0.27666666666666667,0.19333333333333333,0.28,0.6633333333333333,mds
50,0.4,100,20,1,0.6466666666666666,0.6466666666666666,0.27666666666666667,0.19333333333333333,0.28,0.6633333333333333,mds
50,0.4,100,15,1,0.66,0.6466666666666666,0.27666666666666667,0.19333333333333333,0.28,0.6633333333333333,mds
50,0.6,100,8,1,0.8233333333333334,0.8233333333333334,0.2633333333333333,0.22333333333333333,0.33,0.73,dw_pmad
50,0.6,100,10,1,0.8366666666666667,0.8233333333333334,0.2633333333333333,0.22333333333333333,0.33,0.73,dw_pmad
50,0.6,100,12,1,0.8266666666666667,0.8233333333333334,0.2633333333333333,0.22333333333333333,0.33,0.73,dw_pmad
50,0.6,100,15,1,0.8333333333333334,0.8233333333333334,0.2633333333333333,0.22333333333333333,0.33,0.73,dw_pmad
50,0.6,100,20,6,0.8716666666666667,0.8727777777777778,0.365,0.5516666666666666,0.4816666666666667,0.8194444444444444,pca
50,0.4,100,12,3,0.7233333333333334,0.7222222222222222,0.3333333333333333,0.36444444444444446,0.3488888888888889,0.7188888888888889,dw_pmad
50,0.4,100,10,3,0.7166666666666667,0.7222222222222222,0.3333333333333333,0.36444444444444446,0.3488888888888889,0.7188888888888889,pca
50,0.4,100,20,3,0.7233333333333334,0.7222222222222222,0.3333333333333333,0.36444444444444446,0.3488888888888889,0.7188888888888889,dw_pmad
50,0.4,100,15,3,0.7211111111111111,0.7222222222222222,0.3333333333333333,0.36444444444444446,0.3488888888888889,0.7188888888888889,pca
50,0.6,100,8,3,0.8622222222222222,0.8744444444444445,0.3377777777777778,0.43333333333333335,0.4122222222222222,0.7766666666666666,pca
50,0.6,100,10,3,0.8688888888888889,0.8744444444444445,0.3377777777777778,0.43333333333333335,0.4122222222222222,0.7766666666666666,pca
50,0.6,100,12,3,0.8677777777777778,0.8744444444444445,0.3377777777777778,0.43333333333333335,0.4122222222222222,0.7766666666666666,pca
50,0.6,100,20,10,0.901,0.9046666666666666,0.39866666666666667,0.5183333333333333,0.5356666666666666,0.8456666666666667,pca
