Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method
28,0.4,85,3,15,0.5684444444444444,0.5673333333333334,0.43777777777777777,0.4882222222222222,0.4268888888888889,0.6366666666666667,mds
28,0.4,85,8,15,0.5737777777777778,0.5673333333333334,0.43777777777777777,0.4882222222222222,0.4268888888888889,0.6366666666666667,mds
28,0.6,85,6,1,0.51,0.5,0.4166666666666667,0.31666666666666665,0.41,0.6,mds
28,0.6,85,4,1,0.5233333333333333,0.5,0.4166666666666667,0.31666666666666665,0.41,0.6,mds
28,0.6,85,3,1,0.5033333333333333,0.5,0.4166666666666667,0.31666666666666665,0.41,0.6,mds
28,0.6,85,5,1,0.5033333333333333,0.5,0.4166666666666667,0.31666666666666665,0.41,0.6,mds
28,0.6,85,8,1,0.5166666666666667,0.5,0.4166666666666667,0.31666666666666665,0.41,0.6,mds
28,0.6,85,7,1,0.5133333333333333,0.5,0.4166666666666667,0.31666666666666665,0.41,0.6,mds
28,0.6,85,6,3,0.6477777777777778,0.6333333333333333,0.48333333333333334,0.56,0.48333333333333334,0.69,mds
28,0.6,85,4,3,0.6411111111111111,0.6333333333333333,0.48333333333333334,0.56,0.48333333333333334,0.69,mds
28,0.6,85,3,3,0.6211111111111111,0.6333333333333333,0.48333333333333334,0.56,0.48333333333333334,0.69,mds
28,0.6,85,5,3,0.6411111111111111,0.6333333333333333,0.48333333333333334,0.56,0.48333333333333334,0.69,mds
28,0.6,85,8,3,0.6533333333333333,0.6333333333333333,0.48333333333333334,0.56,0.48333333333333334,0.69,mds
28,0.6,85,7,3,0.6288888888888889,0.6333333333333333,0.48333333333333334,0.56,0.48333333333333334,0.69,mds
28,0.6,85,4,6,0.6877777777777778,0.6822222222222222,0.4633333333333333,0.6572222222222223,0.5,0.7422222222222222,mds
28,0.6,85,6,6,0.6883333333333334,0.6822222222222222,0.4633333333333333,0.6572222222222223,0.5,0.7422222222222222,mds
28,0.6,85,3,6,0.6805555555555556,0.6822222222222222,0.4633333333333333,0.6572222222222223,0.5,0.7422222222222222,mds
28,0.6,85,5,6,0.6788888888888889,0.6822222222222222,0.4633333333333333,0.6572222222222223,0.5,0.7422222222222222,mds
28,0.6,85,8,6,0.6822222222222222,0.6822222222222222,0.4633333333333333,0.6572222222222223,0.5,0.7422222222222222,mds
28,0.6,85,7,6,0.6738888888888889,0.6822222222222222,0.4633333333333333,0.6572222222222223,0.5,0.7422222222222222,mds
28,0.6,85,4,10,0.7063333333333334,0.7066666666666667,0.459,0.584,0.505,0.747,mds
28,0.6,85,6,10,0.703,0.7066666666666667,0.459,0.584,0.505,0.747,mds
28,0.6,85,3,10,0.703,0.7066666666666667,0.459,0.584,0.505,0.747,mds
28,0.6,85,5,10,0.706,0.7066666666666667,0.459,0.584,0.505,0.747,mds
28,0.6,85,8,10,0.705,0.7066666666666667,0.459,0.584,0.505,0.747,mds
28,0.6,85,7,10,0.7046666666666667,0.7066666666666667,0.459,0.584,0.505,0.747,mds
28,0.6,85,4,15,0.7411111111111112,0.7313333333333333,0.44222222222222224,0.528,0.5053333333333333,0.7715555555555556,mds
28,0.6,85,6,15,0.7397777777777778,0.7313333333333333,0.44222222222222224,0.528,0.5053333333333333,0.7715555555555556,mds
28,0.6,85,3,15,0.7344444444444445,0.7313333333333333,0.44222222222222224,0.528,0.5053333333333333,0.7715555555555556,mds
28,0.6,85,5,15,0.7346666666666667,0.7313333333333333,0.44222222222222224,0.528,0.5053333333333333,0.7715555555555556,mds
28,0.6,85,8,15,0.7411111111111112,0.7313333333333333,0.44222222222222224,0.528,0.5053333333333333,0.7715555555555556,mds
28,0.6,85,7,15,0.7324444444444445,0.7313333333333333,0.44222222222222224,0.528,0.5053333333333333,0.7715555555555556,mds
