Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method,Difference
50,0.65,85,10,3,0.5872222222222222,0.5788888888888889,dw_pmad,0.008333333
50,0.65,70,1,6,0.6294444444444445,0.6275,dw_pmad,0.001944444
50,0.65,50,1,10,0.6873333333333334,0.6581666666666667,dw_pmad,0.029166667
50,0.65,85,1,6,0.6372222222222222,0.6275,dw_pmad,0.009722222
50,0.65,50,10,15,0.7024444444444444,0.6977777777777778,dw_pmad,0.004666667
50,0.65,100,10,15,0.7018888888888889,0.6977777777777778,dw_pmad,0.004111111
50,0.65,100,1,10,0.6718333333333333,0.6581666666666667,dw_pmad,0.013666667
50,0.65,70,10,15,0.7076666666666667,0.6977777777777778,dw_pmad,0.009888889
50,0.65,85,10,6,0.6338888888888888,0.6275,dw_pmad,0.006388889
50,0.65,70,1,10,0.6746666666666666,0.6581666666666667,dw_pmad,0.0165
50,0.65,50,1,15,0.7131111111111111,0.6977777777777778,dw_pmad,0.015333333
50,0.65,85,1,10,0.6788333333333333,0.6581666666666667,dw_pmad,0.020666667
50,0.65,100,1,15,0.703,0.6977777777777778,dw_pmad,0.005222222
50,0.65,85,10,10,0.6751666666666667,0.6581666666666667,dw_pmad,0.017
50,0.65,70,1,15,0.7032222222222222,0.6977777777777778,dw_pmad,0.005444444
50,0.65,85,1,15,0.7046666666666667,0.6977777777777778,dw_pmad,0.006888889
50,0.65,85,10,15,0.7052222222222222,0.6977777777777778,dw_pmad,0.007444444
50,0.8,50,10,3,0.7266666666666667,0.7216666666666667,dw_pmad,0.005
50,0.65,50,25,3,0.5888888888888889,0.5788888888888889,dw_pmad,0.01
50,0.65,70,25,3,0.5933333333333334,0.5788888888888889,dw_pmad,0.014444444
50,0.8,85,1,3,0.7266666666666667,0.7216666666666667,dw_pmad,0.005
50,0.8,50,1,3,0.7338888888888889,0.7216666666666667,dw_pmad,0.012222222
50,0.8,70,10,3,0.7244444444444444,0.7216666666666667,dw_pmad,0.002777778
50,0.65,100,25,6,0.6327777777777778,0.6275,dw_pmad,0.005277778
