Dimension,Target Ratio,b,alpha,k,MPAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method,DW-PMAD Time (s),PCA Time (s),UMAP Time (s),Isomap Time (s),KernelPCA Time (s),MDS Time (s)
200,0.4,100,18,3,0.891666667,0.888333333,0.303333333,0.43,0.661666667,0.670555556,dw_pmad,2169.229303,1.862303354,3.608638834,1.130839642,0.903958051,7.915662897
200,0.4,100,18,6,0.918055556,0.919166667,0.401388889,0.550555556,0.696388889,0.734444444,pca,2169.229303,1.862303354,3.608638834,1.130839642,0.903958051,7.915662897
200,0.4,100,18,10,0.918333333,0.920833333,0.478,0.522666667,0.713,0.770166667,pca,2169.229303,1.862303354,3.608638834,1.130839642,0.903958051,7.915662897
200,0.4,100,18,15,0.926111111,0.931111111,0.530333333,0.530333333,0.733666667,0.806111111,pca,2169.229303,1.862303354,3.608638834,1.130839642,0.903958051,7.915662897
200,0.4,100,25,1,0.881666667,0.876666667,0.155,0.276666667,0.623333333,0.601666667,dw_pmad,2124.432005,0.579347067,2.950940133,0.336232223,0.351581005,8.357231284
200,0.4,100,25,3,0.887777778,0.888333333,0.303333333,0.43,0.661666667,0.670555556,pca,2124.432005,0.579347067,2.950940133,0.336232223,0.351581005,8.357231284
200,0.4,100,25,6,0.921111111,0.919166667,0.401388889,0.550555556,0.696388889,0.734444444,dw_pmad,2124.432005,0.579347067,2.950940133,0.336232223,0.351581005,8.357231284
200,0.4,100,25,10,0.9175,0.920833333,0.478,0.522666667,0.713,0.770166667,pca,2124.432005,0.579347067,2.950940133,0.336232223,0.351581005,8.357231284
200,0.4,100,25,15,0.927444444,0.931111111,0.530333333,0.530333333,0.733666667,0.806111111,pca,2124.432005,0.579347067,2.950940133,0.336232223,0.351581005,8.357231284
200,0.4,100,35,1,0.878333333,0.876666667,0.155,0.276666667,0.623333333,0.601666667,dw_pmad,2118.876661,1.937051463,3.897643597,1.827189374,0.252732429,7.933433304
200,0.4,100,35,3,0.885,0.888333333,0.303333333,0.43,0.661666667,0.670555556,pca,2118.876661,1.937051463,3.897643597,1.827189374,0.252732429,7.933433304
200,0.4,100,35,6,0.915277778,0.919166667,0.401388889,0.550555556,0.696388889,0.734444444,pca,2118.876661,1.937051463,3.897643597,1.827189374,0.252732429,7.933433304
200,0.4,100,35,10,0.920666667,0.920833333,0.478,0.522666667,0.713,0.770166667,pca,2118.876661,1.937051463,3.897643597,1.827189374,0.252732429,7.933433304
200,0.4,100,35,15,0.929555556,0.931111111,0.530333333,0.530333333,0.733666667,0.806111111,pca,2118.876661,1.937051463,3.897643597,1.827189374,0.252732429,7.933433304
200,0.4,100,50,1,0.881666667,0.876666667,0.155,0.276666667,0.623333333,0.601666667,dw_pmad,2119.643501,0.517151232,3.003448544,0.253522568,1.481521627,7.912567192
200,0.4,100,50,3,0.890555556,0.888333333,0.303333333,0.43,0.661666667,0.670555556,dw_pmad,2119.643501,0.517151232,3.003448544,0.253522568,1.481521627,7.912567192
200,0.4,100,50,6,0.913611111,0.919166667,0.401388889,0.550555556,0.696388889,0.734444444,pca,2119.643501,0.517151232,3.003448544,0.253522568,1.481521627,7.912567192
200,0.4,100,50,10,0.919,0.920833333,0.478,0.522666667,0.713,0.770166667,pca,2119.643501,0.517151232,3.003448544,0.253522568,1.481521627,7.912567192
200,0.4,100,50,15,0.930333333,0.931111111,0.530333333,0.530333333,0.733666667,0.806111111,pca,2119.643501,0.517151232,3.003448544,0.253522568,1.481521627,7.912567192
